电影名称,电影导演,电影主演,电影年份,电影国家,电影类型,电影评分,评分人数,电影摘引
['素媛'],李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,9.3,987368人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
['十二怒汉'],Sidney Lumet,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情,9.4,987368人评价,1957年的理想主义。 
['海蒂和爷爷'],阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情 冒险 家庭,9.3,987368人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
['猫鼠游戏'],史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情,9.1,987368人评价,骗子大师和执著警探的你追我跑故事。 
['天空之城'],宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险,9.2,987368人评价,对天空的追逐，永不停止。 
['摔跤吧！爸爸'],涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭,9.0,987368人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
['鬼子来了'],姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 喜剧,9.3,987368人评价,对敌人的仁慈，就是对自己残忍。
['少年派的奇幻漂流'],李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,987368人评价,瑰丽壮观、无人能及的冒险之旅。
['钢琴家'],罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.3,987368人评价,
['指环王2：双塔奇兵'],彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,987368人评价,承前启后的史诗篇章。
['大话西游之月光宝盒'],刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,987368人评价,
['死亡诗社'],彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,9.2,987368人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
['何以为家'],娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,987368人评价,凝视卑弱生命，用电影改变命运。
['闻香识女人'],马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,9.1,986041人评价,
['绿皮书'],彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,986041人评价,去除成见，需要勇气。
['大闹天宫'],万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆),1964(中国大陆),剧情 动画 奇幻 古装,9.4,986041人评价,
['黑客帝国'],安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski 主...,,1999,美国,动作 科幻,9.1,986041人评价,
['指环王1：护戒使者'],彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,986041人评价,
['罗马假日'],威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情,9.1,986041人评价,
['教父2'],弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1974,美国,剧情 犯罪,9.3,986041人评价,
['狮子王'],Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞,9.1,986041人评价,
['天堂电影院'],朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情 爱情,9.2,986041人评价,
['饮食男女'],李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭,9.2,986041人评价,
['辩护人'],杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情,9.2,986041人评价,电影的现实意义大过电影本身。
['搏击俱乐部'],大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情 动作 悬疑 惊悚,9.0,986041人评价,
['本杰明·巴顿奇事'],大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情 爱情 奇幻,9.0,986041人评价,在时间之河里感受溺水之苦。
['美丽心灵'],朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情,9.1,986041人评价,
['穿条纹睡衣的男孩'],马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争,9.2,986041人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
['情书'],岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情,8.9,986041人评价,
['窃听风暴'],弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck &n...,,2006,德国,剧情 悬疑,9.2,986041人评价,别样人生。
['两杆大烟枪'],盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情 喜剧 犯罪,9.1,986041人评价,
['哈利·波特与死亡圣器(下)'],大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险,9.0,986041人评价,10年的完美句点。
['音乐之声'],罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞,9.1,986041人评价,
['西西里的美丽传说'],朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色,8.9,986041人评价,
['功夫'],周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.9,986041人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
['阿凡达'],詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险,8.8,986041人评价,绝对意义上的美轮美奂。
['哈利·波特与阿兹卡班的囚徒'],阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,2004,英国 美国,奇幻 冒险,9.0,986041人评价,不一样的导演，不一样的哈利·波特。
['看不见的客人'],奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,986041人评价,你以为你以为的就是你以为的。
