车id,车名字,最小价格,最大价格,口碑评分,符合条件类型的车数量,指导价,排名,日期
6376,迈巴赫EQS SUV,1595000,1915000,0.0,2,1595000,暂无,暂无
6543,哈弗H6新能源,159800,173800,4.5359,3,119800,暂无,暂无
6345,欧拉芭蕾猫,149800,179800,4.533,3,149800,暂无,暂无
8053,极狐 阿尔法S6,195800,225800,4.3429,5,185800,暂无,暂无
6148,大家9,259900,449900,4.5109,24,249900,暂无,暂无
6287,飞驰插电混动,2530000,3364000,0.0,5,2230000,暂无,暂无
7198,曹操60,119800,169800,0.0,6,0,15-20万紧凑型轿车销量第14名,2025-04
7271,宝骏云朵,95800,145800,4.5042,7,113800,暂无,暂无
7592,vala-自由王国,268000,268000,0.0,1,268000,暂无,暂无
7680,探索06 C-DM,119900,139900,4.2254,3,113900,暂无,暂无
4344,奔驰S级新能源,1308300,1308300,0.0,2,908300,暂无,暂无
7598,哪吒S猎装,159900,209900,4.8572,8,0,暂无,暂无
5061,探岳GTE插电混动,242900,242900,4.4233,1,202800,暂无,暂无
6501,合创V09,318800,438800,4.5882,5,0,暂无,暂无
7542,猛士M800,879000,979000,0.0,2,879000,暂无,暂无
7143,迈巴赫S级新能源,2016000,2016000,0.0,1,2016000,暂无,暂无
6626,远程星享V,112800,175800,4.5714,52,112800,暂无,暂无
6362,揽胜极光新能源,429800,429800,0.0,1,329800,暂无,暂无
5825,比亚迪D1,160800,169800,4.5,2,160800,暂无,暂无
7211,大家7,189900,304800,4.5828,15,179900,暂无,暂无
4342,帝豪新能源,159800,169800,2.4286,4,89800,暂无,暂无
7099,启辰VX6,134900,199800,4.5137,9,115900,10-15万中型SUV销量第14名,2025-04
5943,奥迪RS e-tron GT,1247800,1247800,0.0,1,1247800,暂无,暂无
6778,五菱征程新能源,145800,155800,0.0,5,145800,暂无,暂无
7963,雷达金刚,99800,159800,4.5364,12,99800,暂无,暂无
4335,沃尔沃S60插电式混动,399900,461900,4.2858,2,333900,暂无,暂无
5986,Artura,2380000,2788000,0.0,3,2380000,暂无,暂无
6767,雷克萨斯RX新能源,549000,549000,0.0,2,459000,暂无,暂无
6707,瑞虎8 PRO新能源,137900,198900,4.1905,5,137900,暂无,暂无
6702,锐胜王牌M7新能源,82800,249800,4.5142,36,82800,暂无,暂无
7221,瑞风RF8 PHEV,209900,369900,4.526,8,209900,暂无,暂无
6155,宝骏KiWi EV,77800,102800,4.4785,6,48800,暂无,暂无
6654,Polestar 4,338000,399900,4.5729,4,0,暂无,暂无
6322,欧拉好猫GT,119800,129800,4.6494,4,107800,暂无,暂无
7216,风云T6,129900,156900,0.0,3,129900,暂无,暂无
6720,小麒麟,49900,51900,4.3572,2,0,微型轿车销量第8名,2025-04
6121,五菱NanoEV,56800,66800,3.8854,6,56800,暂无,暂无
7531,哪吒L,129900,182900,4.5105,10,0,暂无,暂无
