车id,车名字,最小价格,最大价格,口碑评分,符合条件类型的车数量,指导价,排名,日期
7514,智己L6,219900,345900,4.5281,10,199900,中大型轿车销量第19名,2025-04
6265,大众ID.3,129888,147888,4.5246,8,119888,10-15万紧凑型轿车销量第17名,2025-04
7126,阿维塔12,269900,700000,4.5498,15,265800,中大型轿车销量第13名,2025-04
7231,奔腾小马,24900,53900,4.5229,10,24900,微型轿车销量第5名,2025-04
7649,奇瑞iCAR V23,109800,149800,4.5447,5,109800,暂无,暂无
7630,享界S9,309800,449800,4.6572,6,309800,中大型轿车销量第16名,2025-04
7652,阿维塔07,219900,289900,4.5964,12,219900,20-25万中型SUV销量第12名,2025-04
6653,坦克500新能源,335000,363800,4.6047,4,335000,35-50万中大型SUV销量第3名,2025-04
7167,银河L6,79800,149800,4.5816,5,79800,紧凑型轿车销量第10名,2025-04
7694,海豹06GT,136800,186800,4.4399,8,124800,10-15万中型轿车销量第3名,2025-04
7918,AION UT,69800,101800,4.5517,6,69800,小型轿车销量第6名,2025-04
6544,宝马i3,353900,413900,4.4898,4,177000,降价榜第2名,
7209,长安启源A07,119900,159900,4.6388,10,115900,中大型轿车销量第7名,2025-04
6394,海豹,149800,249800,4.4108,19,129800,暂无,暂无
6924,熊猫,29900,53900,4.5903,8,29900,新能源销量第9名,2025-04
7174,星纪元 ET,172800,319800,4.2857,18,172800,插混/增程纯电续航达成率第3名,
7982,海狮05 EV,117800,137800,4.6667,3,117800,紧凑型SUV销量第16名,2025-04
6846,极氪009,439000,899000,4.3862,8,439000,MPV销量第12名,2025-04
7554,小鹏P7+,186800,208800,4.4925,3,186800,中大型轿车销量第6名,2025-04
7210,坦克300新能源,249800,249800,4.4882,1,249800,20-25万紧凑型SUV销量第10名,2025-04
7671,五菱星光S,99800,129800,4.4803,5,79800,5-10万紧凑型SUV销量第10名,2025-04
7777,极氪7X,229900,269900,4.5403,3,229900,20-25万中型SUV销量第9名,2025-04
6091,极氪001,259000,329000,4.5209,5,259000,中大型轿车销量第11名,2025-04
7687,乐道L60,206900,255900,4.5125,4,206900,纯电30-80%充电用时第1名,
7692,马自达EZ-6,139800,179800,4.5291,7,99800,10-15万中型轿车销量第10名,2025-03
7345,捷途山海T2,179900,239900,4.5608,9,159900,20-25万紧凑型SUV销量第14名,2025-04
6674,长安Lumin,37900,65900,4.5286,12,36900,新能源销量第14名,2025-04
7306,蔚来ET5T,298000,356000,4.504,2,298000,0-100km/h加速时间第1名,
7826,宝骏享境,129800,153800,4.5105,4,125800,暂无,暂无
7035,星纪元 ES,152800,299900,4.5078,16,152800,中大型轿车销量第9名,2025-04
7538,元UP,96800,119800,4.4297,7,86800,10-15万小型SUV销量第1名,2025-04
6851,海狮07 EV,189800,239800,4.5714,8,179800,20-25万中型SUV销量第13名,2025-04
7442,风云T9,132900,193900,3.989,14,124900,10-15万中型SUV销量第7名,2025-04
7860,AION RT,119800,165800,4.572,6,114800,紧凑型轿车销量第20名,2025-04
6353,深蓝SL03,119900,209900,4.1429,10,119900,暂无,暂无
7003,仰望U8,1098000,1098000,4.5636,2,1098000,大型SUV销量第9名,2025-04
6939,理想MEGA,529800,559800,4.5336,3,529800,50-100万新能源销量第5名,2025-03
7929,昊铂HL,269800,319800,4.5835,8,269800,暂无,暂无
7162,小鹏G6,176800,198800,4.5856,3,176800,15-20万中型SUV销量第9名,2025-04
7243,领克08 EM-P,185800,248800,4.5405,6,165800,能耗榜馈电油耗第8名,
5758,宝马iX3,405000,445000,4.3737,2,210600,降价榜第6名,
7220,宋L EV,189800,249800,4.4584,8,179800,20-25万中型SUV销量第17名,2025-04
5213,小鹏P7,223900,339900,4.5694,3,184900,暂无,暂无
5976,AION Y,109800,145800,4.5401,10,93800,10-15万紧凑型SUV销量第17名,2025-04
6492,小鹏G9,248800,278800,4.6642,3,248800,20-25万中大型SUV销量第8名,2025-04
7213,坦克400新能源,285800,289800,4.5478,2,285800,插混/增程纯电续航达成率第5名,
7158,银河L7,115800,169700,4.5537,9,113700,15-20万紧凑型SUV销量第19名,2025-04
7456,eπ008,178600,203600,4.5165,16,163600,15-20万中大型SUV销量第4名,2025-04
5515,零跑T03,59900,69900,4.5772,4,41900,微型轿车销量第4名,2025-04
7981,海豹05 DM-i,79800,103800,0.0,3,79800,5-10万紧凑型轿车销量第12名,2025-04
6453,蔚来ET5,298000,356000,4.5233,2,298000,25-35万中型轿车销量第11名,2025-04
7327,极狐 阿尔法S5,127800,184800,4.4593,9,119800,10-15万中型轿车销量第6名,2025-04
7305,智己LS6,239900,302900,4.5703,10,209900,20-25万中大型SUV销量第5名,2025-04
7067,小鹏X9,359800,419800,4.4602,9,319800,MPV销量第13名,2025-04
7705,红旗天工05,159800,185800,4.4764,4,159800,暂无,暂无
7491,极氪007,209900,299900,4.5049,5,209900,中型轿车销量第20名,2025-04
7355,智界S7,229800,329800,4.5591,5,229800,20-25万中大型轿车销量第10名,2025-04
7822,海豹07 DM-i,139800,195800,4.496,10,126800,10-15万中型轿车销量第8名,2025-04
7125,极狐 阿尔法T5,119800,199800,4.5822,9,118800,10-15万中型SUV销量第9名,2025-04
6337,驱逐舰05,79800,136800,4.5177,8,69800,紧凑型轿车销量第15名,2025-04
7990,firefly萤火虫,119800,125800,4.7143,2,119800,暂无,暂无
5845,领克Z10,186800,282800,4.3386,7,186800,20-25万中大型轿车销量第9名,2025-04
7812,领克Z20,135900,150900,4.5074,3,131900,15-20万紧凑型SUV销量第13名,2025-04
5785,ID.4 CROZZ,149900,243600,4.8572,4,139900,20-25万紧凑型SUV销量第11名,2025-04
6161,零跑C01,136800,199800,4.5506,7,119800,中大型轿车销量第18名,2025-04
7537,翼真L380,299900,599900,4.5532,9,299900,暂无,暂无
6334,领克09 EM-P,275800,347800,3.9673,6,246900,暂无,暂无
5569,蔚来EC6,358000,416000,4.5055,4,358000,35-50万中型SUV销量第7名,2025-04
7738,深蓝L07,151900,173900,4.1428,15,131900,15-20万中型轿车销量第18名,2025-04
5511,ID.4 X,159888,211888,4.2972,8,135888,20-25万紧凑型SUV销量第13名,2025-04
7344,宝马i5,439900,539900,4.4816,10,285900,35-50万中大型轿车销量第9名,2025-04
5576,领克07 EM-P,159800,179800,4.5203,3,145800,暂无,暂无
7043,别克E5,169900,211900,4.7857,3,135900,15-20万中大型SUV销量第7名,2025-04
7329,传祺E8新能源,216800,238800,4.4825,7,206800,4月MPV销量第9名,2025-04
7351,长安启源Q05,96900,112900,4.1909,5,63900,5-10万紧凑型SUV销量第11名,2025-04
7807,海狮05 DM-i,102800,142800,4.4822,8,89800,暂无,暂无
7659,腾势Z9GT,334800,414800,4.5341,5,334800,35-50万中大型轿车销量第8名,2025-04
7677,广汽本田P7,199900,249900,0.0,3,199900,暂无,暂无
7397,捷途山海L9,164900,242900,4.5294,18,146900,20-25万中型SUV销量第19名,2025-04
6354,阿维塔11,279900,429900,4.5714,11,279900,暂无,暂无
7897,五菱之光新能源,47800,50800,4.3296,2,46300,5万以内车型销量第8名,2025-04
7314,长安启源A05,78900,103900,4.4378,5,49900,5-10万紧凑型轿车销量第14名,2025-03
7546,蔚来ET9,788000,808000,0.0,2,788000,50-100万新能源销量第4名,2025-04
7572,五菱缤果PLUS,75800,98800,4.3878,5,69800,小型SUV销量第7名,2025-04
5924,岚图FREE,228900,266900,4.5109,2,218900,20-25万中大型SUV销量第10名,2025-04
7673,红旗HS3 PHEV,159800,159800,4.3623,1,139800,暂无,暂无
6903,丰田bZ3,169800,199800,4.5191,3,123800,15-20万中型轿车销量第17名,2025-04
5622,AION V,129800,193600,4.5863,11,121800,15-20万紧凑型SUV销量第17名,2025-03
7391,仰望U7,628000,708000,0.0,4,628000,暂无,暂无
6336,奥迪Q5 e-tron,298500,432500,4.8571,14,229500,35-50万中大型SUV销量第12名,2025-04
7116,仰望U9,1680000,1680000,4.8572,1,1680000,暂无,暂无
4864,沃尔沃S90插电式混动,499900,613900,3.5714,2,349000,50-100万中大型轿车销量第10名,2025-04
7863,风云A8L,109900,149900,4.5349,5,109900,暂无,暂无
6369,smart精灵#1,154900,284900,4.4489,6,146900,15-20万小型SUV销量第2名,2025-04
7223,宝马iX1,299900,339900,4.3352,4,152900,降价榜第4名,
6309,QQ冰淇淋,29900,56900,4.2858,6,27900,微型轿车销量第6名,2025-04
7301,荣威D7,123800,200800,4.4594,14,79800,10-15万中型轿车销量第4名,2025-04
4942,宝马iX,746900,1009900,4.1429,2,502600,暂无,暂无
8015,比亚迪e7,103800,115800,0.0,3,0,暂无,暂无
7781,五菱宏光新能源,68800,73800,4.1143,5,62800,5-10万新能源销量第19名,2025-04
7154,风云A8,109900,149900,4.5989,11,89900,暂无,暂无
6936,宝骏悦也,80800,90800,4.4562,2,76800,小型SUV销量第15名,2025-04
7838,腾势Z9,334800,414800,4.5084,5,334800,暂无,暂无
2664,Model X,724900,824900,4.5715,2,724900,暂无,暂无
6504,奥迪Q4 e-tron,289900,367100,4.6349,4,174800,25-35万紧凑型SUV销量第13名,2025-04
4218,小蚂蚁,59900,76900,4.4907,8,55900,微型轿车销量第7名,2025-04
7506,捷途山海T1,154800,178800,4.5582,4,142800,暂无,暂无
7898,风云T8,103900,150900,4.5049,12,99900,10-15万中型SUV销量第13名,2025-04
7227,星途揽月C-DM,209900,233900,4.5066,4,209900,暂无,暂无
5823,欧拉好猫,105800,135800,4.5236,7,93800,小型轿车销量第7名,2025-04
7069,奇瑞iCAR 03,109800,169800,4.5047,16,89800,暂无,暂无
7631,极氪MIX,279900,299900,4.5476,2,279900,暂无,暂无
7576,电动MINI COOPER,209800,259800,3.8571,4,148800,小型轿车销量第8名,2025-04
4427,蔚来ES8,498000,598000,4.5237,5,498000,50-100万中大型SUV销量第4名,2025-04
7028,极氪X,149000,199000,4.4486,5,149000,暂无,暂无
6907,猛士917,637700,1098000,4.5714,6,637700,暂无,暂无
7728,岚图知音,196900,236900,4.5416,3,178900,20-25万中型SUV销量第20名,2025-04
7512,长安UNI-Z新能源,117900,131900,4.7142,3,99900,10-15万紧凑型SUV销量第20名,2025-03
4867,Taycan,898000,1998000,4.4607,10,928000,暂无,暂无
7127,雅阁新能源,225800,258800,4.1056,4,165800,暂无,暂无
4324,Cayenne新能源,878000,1998000,4.1512,12,878000,暂无,暂无
6002,红旗E-QM5,165800,239800,4.5835,5,120800,中型轿车销量第15名,2025-04
7574,宝骏悦也Plus,93800,103800,4.7143,4,86800,10-15万小型SUV销量第6名,2025-04
2357,Model S,684900,814900,4.8571,2,684900,暂无,暂无
7924,大通G50插电混动,139800,149800,4.5945,2,134800,10-15万MPV销量第9名,2025-04
7633,风云T10,189900,229900,4.495,6,177900,15-20万中大型SUV销量第8名,2025-04
6671,护卫舰07,179800,259800,4.4451,5,149800,暂无,暂无
7629,星海S7,109900,189900,4.5714,11,109900,中大型轿车销量第20名,2025-04
7832,蓝电E5 PLUS,99800,168800,4.5724,26,95800,暂无,暂无
7208,大众ID.7 VIZZION,227777,262777,3.7817,4,167677,暂无,暂无
7950,宝马M760Le,1819000,1819000,0.0,1,1637100,暂无,暂无
6869,传祺E9,319800,409800,4.5143,9,299800,25-35万MPV销量第13名,2025-04
4337,沃尔沃XC90插电式混动,795900,894900,4.8571,3,599000,暂无,暂无
7676,东风本田S7,199900,249900,0.0,2,199900,暂无,暂无
4609,沃尔沃XC60插电式混动,523900,603900,4.4979,4,390900,50-100万新能源销量第6名,2025-04
7214,瑞虎9 C-DM,165900,179900,4.2533,6,155900,暂无,暂无
6276,法拉利296,2988000,3488000,0.0,2,2988000,暂无,暂无
7520,铂智4X,179800,238800,4.4756,8,159800,暂无,暂无
6640,奔驰EQE,478000,627000,4.348,3,308000,暂无,暂无
4776,微蓝6,112800,168900,4.3196,5,90900,降价榜第9名,
4768,奔驰E级新能源,538600,538600,4.2673,2,383600,暂无,暂无
7590,红旗HS7 PHEV,290800,345800,0.0,6,236800,暂无,暂无
6898,腾势N7,239800,329800,4.5568,8,239800,暂无,暂无
6900,哈弗二代大狗新能源,162800,179800,4.5456,4,122800,暂无,暂无
6150,奔驰EQB,352000,428000,3.7143,2,222000,暂无,暂无
8062,逸动PHEV,84900,99900,4.4286,3,56900,暂无,暂无
6641,荣威iMAX8新能源,199900,359800,4.8571,10,189900,20-25万MPV销量第8名,2025-04
6404,IQ锐歌,297700,419700,4.3276,4,247700,暂无,暂无
6639,吉利几何E萤火虫,59800,89800,4.5015,5,79800,暂无,暂无
7711,捷途山海L7,129800,163800,4.1383,10,119800,10-15万中型SUV销量第13名,2025-03
7245,红旗EH7,208800,309800,4.6322,15,173800,20-25万中大型轿车销量第8名,2025-04
7378,EMEYA繁花,528000,1008000,4.5192,6,528000,暂无,暂无
7215,瑶光C-DM,159900,219900,4.513,6,159800,暂无,暂无
6915,岚图追光,252800,385900,4.5709,4,222800,暂无,暂无
7044,smart精灵#3,164900,289900,4.4395,5,161900,暂无,暂无
7395,昊铂HT,229900,329900,4.5144,5,186900,20-25万中大型SUV销量第14名,2025-03
7120,极狐 考拉,131800,169800,4.5578,4,119800,10-15万MPV销量第1名,2025-04
6955,羿驰01,229800,229800,0.0,1,0,暂无,暂无
7581,吉祥AIR,147800,159800,0.0,2,0,暂无,暂无
5830,哪吒S,154800,224800,4.2747,9,0,暂无,暂无
6029,福特电马,239800,359800,4.479,5,164800,暂无,暂无
6055,ID.6 CROZZ,205900,283900,4.7142,4,195900,暂无,暂无
5046,奥迪e-tron GT,999800,999800,0.0,1,999800,暂无,暂无
5026,AION S,139800,146800,4.4715,5,99800,紧凑型轿车销量第16名,2025-04
7036,Macan新能源,598000,968000,0.0,4,598000,暂无,暂无
6649,ELETRE,548000,1238800,4.5428,5,548000,暂无,暂无
7563,五菱扬光,71800,84800,4.2594,8,61800,暂无,暂无
6303,宝马XM,1290000,2800000,0.0,3,1032000,暂无,暂无
7797,极狐 考拉S,109800,135800,4.5509,3,99800,暂无,暂无
6149,奔驰EQA,322000,322000,2.8571,1,192000,暂无,暂无
7365,沃尔沃EM90,818000,818000,4.5861,1,818000,暂无,暂无
5264,蔚来ET7,428000,516000,4.5535,4,428000,50-100万中大型轿车销量第9名,2025-04
6013,智己LS7,289800,459800,4.6429,9,299800,暂无,暂无
7085,哪吒GT,188800,226800,4.5573,2,0,暂无,暂无
6975,奔驰EQE SUV,486000,630600,3.0,3,316000,50-100万中大型SUV销量第6名,2025-04
6427,宝马i7,949000,1459000,0.0,6,734400,暂无,暂无
5755,MG Cyberster,319800,365800,4.6092,4,319800,暂无,暂无
7684,smart精灵#5,239900,379900,4.527,6,229900,暂无,暂无
7176,Revuelto,6294994,6294994,0.0,1,0,暂无,暂无
5238,比亚迪e2,89800,147800,4.3843,3,81800,暂无,暂无
7332,IQ傲歌,239700,269700,4.5305,2,239700,暂无,暂无
7275,沃尔沃EX30,200800,255800,4.5234,4,200800,暂无,暂无
6714,ARIYA艾睿雅,199900,282900,4.5705,5,144900,暂无,暂无
6073,元Pro,95800,113800,4.4994,3,79800,暂无,暂无
5892,本田CR-V新能源,225900,269900,4.6374,3,161900,暂无,暂无
6035,ID.6 X,259888,293888,4.42,3,169888,暂无,暂无
5425,红旗E-HS9,589800,779800,4.5523,8,589800,大型SUV销量第8名,2025-04
7122,别克E4,159900,229900,4.5076,4,129900,15-20万中大型SUV销量第10名,2025-04
7741,宝骏云海,109800,133800,4.5284,4,105800,暂无,暂无
7575,长安启源E07,199900,319900,4.505,11,199900,暂无,暂无
7393,探界者Plus,149900,179900,0.0,4,149900,暂无,暂无
7513,北京越野BJ60雷霆,259800,304800,4.0,5,259800,暂无,暂无
7331,传祺ES9,229800,269800,4.5646,4,229800,暂无,暂无
7276,大拿V1,88800,206800,4.491,18,88800,暂无,暂无
7866,电动MINI JCW,299800,299800,0.0,1,224800,暂无,暂无
7400,星海V9,199900,279900,4.5462,7,199900,15-20万MPV销量第9名,2025-04
4904,帕萨特新能源,217150,242150,4.4155,3,182150,暂无,暂无
5967,RAV4荣放双擎E+,248800,297800,4.5351,2,211300,暂无,暂无
7380,红旗HQ9 PHEV,358800,538800,0.0,4,338800,暂无,暂无
6012,智己L7,299900,419900,3.8571,4,291900,暂无,暂无
4349,奔驰C级新能源,410600,410600,3.9285,2,265600,暂无,暂无
6374,奔驰G级新能源,2170000,2170000,0.0,1,2170000,暂无,暂无
7229,山海炮 Hi4-T,226800,226800,0.0,1,216800,暂无,暂无
6688,帝豪L HiP,89800,99800,4.5083,2,89800,暂无,暂无
7302,极石01,299900,359900,4.5256,4,299900,35-50万中大型SUV销量第8名,2025-04
5557,领克06 EM-P,147800,156800,4.5266,2,127800,15-20万小型SUV销量第6名,2025-04
7682,奇瑞iCAR 03T,139800,165800,4.3095,4,119800,暂无,暂无
2761,秦新能源,155800,169800,4.2857,2,105800,15-20万紧凑型轿车销量第13名,2025-04
5480,宝马i4,429900,549900,4.4286,4,334900,暂无,暂无
5382,奔驰EQS,881000,1339000,4.7143,3,581000,暂无,暂无
5824,极狐 阿尔法S,189800,329800,4.4982,14,169800,20-25万中大型轿车销量第10名,2025-03
6522,雷丁芒果Pro,53900,53900,4.5065,1,0,暂无,暂无
6011,魏牌 摩卡新能源,231800,238800,3.2858,2,231800,暂无,暂无
4831,宋MAX新能源,147800,174800,4.3077,5,81800,降价榜第16名,
6619,AION S Plus,118800,149800,4.4426,4,107800,暂无,暂无
8043,示界06,125800,125800,0.0,1,125800,暂无,暂无
7388,世极,1980000,1980000,0.0,1,1980000,暂无,暂无
5062,迈腾GTE插电混动,237900,252900,4.4555,2,197800,暂无,暂无
7737,奔驰GLC新能源,518000,518000,0.0,1,518000,暂无,暂无
6673,一汽丰田bZ4X,199800,284800,4.2866,5,144800,暂无,暂无
6421,闪灵,5750000,5750000,0.0,1,5750000,暂无,暂无
5955,比亚迪e9,241800,241800,0.0,1,0,暂无,暂无
4346,奔驰GLE新能源,824800,824800,4.6307,1,624800,暂无,暂无
6913,红旗天工08,215900,339800,4.8571,11,200900,暂无,暂无
7923,长安CS55PLUS PHEV,104900,109900,0.0,2,79900,暂无,暂无
7147,哈弗枭龙,139800,156800,4.5098,3,99800,暂无,暂无
7352,起亚EV5,149800,255800,4.5537,12,139800,暂无,暂无
7452,AION S MAX,118800,191600,4.5162,11,115800,暂无,暂无
7862,瑞虎7 C-DM,119900,142900,4.2528,3,112900,暂无,暂无
6735,长安UNI-V 智电iDD,114900,151900,4.4762,5,107900,暂无,暂无
7858,瑞虎8 PLUS C-DM,129900,158900,0.0,6,119900,暂无,暂无
4983,吉利几何A,143800,207800,4.2429,11,110800,15-20万紧凑型轿车销量第15名,2025-04
4746,途观L新能源,261050,272050,4.4921,2,208050,暂无,暂无
6700,蔚来ES7,438000,518000,4.4774,3,438000,暂无,暂无
5994,皓影新能源,225900,269900,4.3714,3,167900,暂无,暂无
7805,MG ES5,116900,196900,4.4864,6,93900,暂无,暂无
7698,极氪001 FR,769000,769000,0.0,1,769000,暂无,暂无
6124,欧拉闪电猫,189800,272800,4.4489,7,159800,暂无,暂无
6008,奔腾NAT,139800,164800,4.5397,28,79800,15-20万MPV销量第6名,2025-04
7632,电动MINI ACEMAN,229900,279900,4.489,3,163900,暂无,暂无
7743,领裕新能源,206800,238800,4.5041,3,169800,暂无,暂无
7186,钇为3,69900,149900,4.5493,22,59900,小型轿车销量第10名,2025-04
7018,远程超级VAN,128800,388800,0.0,57,119800,暂无,暂无
6525,雷克萨斯RZ,355900,459900,4.2052,4,235900,暂无,暂无
7084,昊铂GT,203900,219900,4.5594,3,170900,暂无,暂无
3682,Mirai,748000,751000,0.0,1,738000,暂无,暂无
6977,蓝电E5,99800,153900,4.5234,12,99800,暂无,暂无
4322,Panamera新能源,1193000,2501000,4.6628,13,1193000,暂无,暂无
7434,长安猎手,127900,216900,4.4346,14,107900,暂无,暂无
7252,e:NP2 极湃2,159800,159800,0.0,1,149800,暂无,暂无
6381,魏牌 拿铁DHT-PHEV,229000,263000,4.4784,3,229000,暂无,暂无
5574,牧马人新能源,499900,579900,4.4705,2,459900,暂无,暂无
5889,路虎卫士新能源,818000,818000,0.0,1,718000,暂无,暂无
5262,AION LX,286600,469600,4.6457,4,236600,暂无,暂无
5240,奥迪Q2L e-tron,243800,243800,4.0,1,187900,暂无,暂无
6719,五菱Air ev晴空,57800,69800,4.443,4,57800,暂无,暂无
7577,知豆彩虹,31900,60900,4.5235,8,0,微型轿车销量第9名,2025-04
7065,奔驰S级AMG新能源,2638000,2853000,0.0,3,2638000,暂无,暂无
7238,捷途山海L6,123900,144900,4.487,3,117900,暂无,暂无
7178,英仕派新能源,229800,258800,4.5629,2,165800,暂无,暂无
7787,宝马M5新能源,1468900,1468900,0.0,1,1468900,暂无,暂无
7141,Urus SE,2971000,2971000,0.0,1,0,暂无,暂无
7744,领睿新能源,168800,199800,4.5105,4,142800,暂无,暂无
6651,MG4 EV,139800,186800,4.393,8,109800,暂无,暂无
7088,奇瑞舒享家,129900,172900,4.3251,11,94900,暂无,暂无
7362,瑞驰新能源EC75,79900,141900,4.2858,20,0,暂无,暂无
6994,蔚来EC7,458000,548000,4.4937,3,458000,50-100万中大型SUV销量第8名,2025-04
